COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,COMPENSATION_AMOUNT,CLIENT_ID,CLIENT_NAME,CREATED_DATE
2480309330,04/01/2020,06/30/2020,23981,ALEXANDRA,,SIMS,9000.00,2014063902,VERIZON WIRELESS,12/01/2020
33708520,07/01/2020,09/30/2020,23981,ALEXANDRA,,SIMS,9000.00,2014063902,VERIZON WIRELESS,12/01/2020
1974147196,01/01/2020,03/31/2020,23981,ALEXANDRA,,SIMS,21000.00,2014063902,VERIZON WIRELESS,12/01/2020
1180677412,01/01/2021,03/31/2021,20343,MICHAEL,,RUEMMLER,10000.00,840070058,PENNROSE,07/26/2021
2547902906,01/01/2021,03/31/2021,20343,MICHAEL,,RUEMMLER,7000.00,2354479175,NWEA,07/26/2021
753804029,04/01/2021,06/30/2021,20343,MICHAEL,,RUEMMLER,7000.00,2354479175,NWEA,07/26/2021
3575917400,01/01/2021,03/31/2021,25029,PATRICK,M,GREEN,2205.58,587870930,WELLS FARGO & COMPANY,07/26/2021
1345886647,04/01/2021,06/30/2021,25029,PATRICK,M,GREEN,1654.20,587870930,WELLS FARGO & COMPANY,07/26/2021
652230452,04/01/2021,06/30/2021,20343,MICHAEL,,RUEMMLER,7500.00,840070058,PENNROSE,07/26/2021
2614165863,04/01/2021,06/30/2021,20343,MICHAEL,,RUEMMLER,15000.00,750219618,ARAMARK MANAGEMENT SERVICES LIMITED PARTNERSHIP,07/26/2021
2580865091,07/01/2021,09/30/2021,25323,JULIE,,DWORKIN,1262.25,440280861,CHICAGO COALITION FOR THE HOMELESS,11/05/2021
1150806936,01/01/2021,03/31/2021,20343,MICHAEL,,RUEMMLER,15000.00,3265816648,NATURAL RESOURCES DEFENSE COUNCIL INC. AND ITS AFFILIATES,07/26/2021
1003091482,01/01/2021,03/31/2021,6323,JOHN,S,KAMIS,30000.00,1770852937,CONSUMER DATA INDUSTRY ASSOCIATION,04/05/2021
2614165863,04/01/2021,06/30/2021,20343,MICHAEL,,RUEMMLER,15000.00,2666566692,"DOORDASH, INC.",07/26/2021
1180677412,01/01/2021,03/31/2021,20343,MICHAEL,,RUEMMLER,10000.00,750219618,ARAMARK MANAGEMENT SERVICES LIMITED PARTNERSHIP,07/26/2021
915838338,04/01/2021,06/30/2021,20343,MICHAEL,,RUEMMLER,9000.00,2621247090,DIGITAL REALTY,07/26/2021
1180677412,01/01/2021,03/31/2021,20343,MICHAEL,,RUEMMLER,10000.00,2621247090,DIGITAL REALTY,07/26/2021
2614165863,04/01/2021,06/30/2021,20343,MICHAEL,,RUEMMLER,15000.00,3265816648,NATURAL RESOURCES DEFENSE COUNCIL INC. AND ITS AFFILIATES,07/26/2021
2438027443,01/01/2021,03/31/2021,6323,JOHN,S,KAMIS,12000.00,761885441,CHICAGO COMMUNITY TRUST,04/05/2021
2569117199,01/01/2021,03/31/2021,20343,MICHAEL,,RUEMMLER,5000.00,2666566692,"DOORDASH, INC.",07/26/2021
1579788264,04/01/2021,06/30/2021,4010,RICHARD,,KLAWITER,1500.00,3146441767,TISHMAN SPEYER PROPERTIES,11/08/2021
