Year,CLIENT_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,CREATED_DATE,ACTIVE
2020,2386215978,SERVICENOW,2225 LAWSON,,SANTA CLAIRE,CA,95054,UNITED STATES,06/07/2018,Y
2020,758020543,JOINT CIVIC COMMITTEE OF ITALIAN AMERICANS,3800 DIVISION STREET,,STONE PARK,IL,60165,UNITED STATES,12/01/2020,Y
2020,3083112841,EDUCATORS FOR EXCELLENCE,351 W. HUBBARD STREET,SUITE 805,CHICAGO,IL,60654,UNITED STATES,03/03/2020,Y
2020,867465402,CAPITAL ONE FINANCIAL CORPORATION,1717 E. CARY STREET,,RICHMOND,VA,23223,UNITED STATES,03/03/2020,Y
2020,3078620549,"ATRIUM MALL, LLC",7 BULLFINCH PLACE,SUITE 500,BOSTON,MA,02114,UNITED STATES,07/27/2020,Y
2020,4087680836,CED FOOD LLC,230 W. AVENUE 26,,LOS ANGELES,CA,90031,UNITED STATES,05/11/2018,Y
2020,257472130,CHANDLER CONDOMINIUM ASSOCIATION,450 E WATERSIDE DRIVE,,CHICAGO,IL,60601,UNITED STATES,05/03/2019,Y
2020,4276518099,"CHICAGO ASHLAND WEBSTER, LLC",STATE FARM INSURANCE COMPANIES,"ONE STATE FARM PLAZA, A-3",BLOOMINGTON,IL,61710-0001,UNITED STATES,01/23/2019,Y
2020,4219481870,TRACY BAIM AND MARCY BAIM,1900 SOUTH PRAIRIE AVENUE,,CHICAGO,IL,60616,UNITED STATES,03/06/2020,Y
2020,641249032,SOUTHERN WISCONSIN BANCSHARES CORPORATION,1629 W. COLONIAL PARKWAY,,INVERNESS,IL,60067,UNITED STATES,03/06/2020,Y
2020,3441035479,YESHIVA GEDOLA OF THE MIDWEST,333 W WACKER,#2000,CHICAGO,IL,60606,UNITED STATES,07/16/2019,Y
2020,3965667581,SOUTH CHICAGO PACKING CO,945 W 38TH ST.,,CHICAGO,IL,60609,UNITED STATES,,Y
2020,1091448180,MIDWAY TECHNOLOGY CENTRE OWNER LLC,96 FRENEAU AVE,,MATTAWAN,NJ,07747,UNITED STATES,03/09/2020,Y
2020,3084486012,GOOGLE LLC AND ITS AFFILIATES,"C/O 28 LIBERTY SHIP WAY, SUITE 2815",,SAUSALITO,CA,94965,UNITED STATES,01/19/2018,Y
2020,286906209,"NEUTRON HOLDINGS, INC DBA LIMEBIKE",80 M STREET SE,,WASHINGTON,DC,20003,UNITED STATES,03/10/2020,Y
2020,407051315,ASHLEY WENDELA AND BRENDAN METZGER,816 N MAY ST,,CHICAGO,IL,60642,UNITED STATES,03/11/2020,Y
2020,819549338,ESSENTIAL HOUSING CHICAGO,"1101 W. MONROE STREET, 2ND FLOOR",,CHICAGO,IL,60607,UNITED STATES,12/02/2020,Y
2020,2821932813,"LINCOLN PROVISION, INC.",824 WEST 38TH PLACE,,CHICAGO,IL,60609,UNITED STATES,03/11/2020,Y
2020,2794389705,"WENDELLA SIGHTSEEING, INC.",400 N. MICHIGAN AVENUE #C100,,CHICAGO,IL,60611,UNITED STATES,03/11/2020,Y
2020,3184574837,ILLINOIS STATE VETERINARY MEDICAL ASSOCIATION,1121 CHATHAM ROAD,,SPRINGFIELD,IL,62704,UNITED STATES,01/15/2019,Y
2020,312997599,TANIUM INC,2100 POWELL STREET,SUITE 300,EMERYVILLE,CA,94608,UNITED STATES,07/28/2020,Y
2020,2912971499,THE NATURE CONSERVANCY,8 S MICHIGAN AVE,SUITE 900,CHICAGO,IL,60603,UNITED STATES,03/12/2020,Y
2020,2242746601,NGPL,3250 LACEY ROAD,,DOWNERS GROVE,IL,60515,UNITED STATES,03/12/2020,Y
2020,3598973004,CHICAGO ROOFING CONTRACTORS ASSOCIATION,4415 HARRISON STREET,,HILLSIDE,IL,60162,UNITED STATES,03/14/2020,Y
2020,710939800,ILLINOIS FIREFIGHTERS ASSOCIATION,PO BOX 77,,GLEN CARBON,IL,62034,UNITED STATES,03/14/2020,Y
2020,4104610840,"BIRD RIDES, INC.",406 BROADWAY #369,,SANTA MONICA,CA,90401,UNITED STATES,03/16/2020,Y
2020,1826625223,ELEVATE ENERGY,"322 S GREEN STREET, SUITE 300",,CHICAGO,IL,60607,UNITED STATES,11/20/2019,Y
2020,1397099739,"1650 FULLERTON, LLC",2222 N. ELSTON AVE.,,CHICAGO,IL,60614,UNITED STATES,03/18/2020,Y
2020,1077819668,2017 BAKER MENDELL LLC,2222 N. ELSTON AVE.,,CHICAGO,IL,60614,UNITED STATES,03/18/2020,Y
2020,57571200,DIAMOND STAR UNDERGROUND LLC - INFUSER,"1507 E. 53RD ST., #130",,CHICAGO,IL,60615,UNITED STATES,03/18/2020,Y
2020,679974628,"L-EVATION BOTANICALS, LLC",3501 W. 48TH PLACE,,CHICAGO,IL,60632,UNITED STATES,03/18/2020,Y
2020,2068784767,3244 - 50 WEST BRYN MAWR LLC,"5 EAST COLLEGE DRIVE, SUITE 203",,ARLINGTON HEIGHTS,IL,60004,UNITED STATES,03/18/2020,Y
2020,2475279877,"GREEN ENGINE, LLC",1050 E. 95TH ST.,,CHICAGO,IL,60619,UNITED STATES,03/18/2020,Y
2020,3732487120,"DIAMOND STAR UNDERGROUND, LLC","1507 E. 53RD ST., #130",,CHICAGO,IL,60615,UNITED STATES,03/18/2020,Y
2020,353863854,FLORIN PAVEL,6941 NORTH KARLOV AVENUE,,LINCOLNWOOD,IL,60712,UNITED STATES,01/21/2020,Y
2020,2333828271,CUSTOM STRAINS LLC,317 WEST LAKE STREET,,NORTHLAKE,IL,60164,UNITED STATES,03/18/2020,Y
2020,3009719888,FOSTER AND LINCOLN LLC,"5 EAST COLLEGE DRIVE, SUITE 203",,ARLINGTON HEIGHTS,IL,60004,UNITED STATES,03/18/2020,Y
2020,957418760,"URBAN SYNERGY, LLC",2826 W. WASHINGTON BLVD,,CHICAGO,IL,60612,UNITED STATES,03/18/2020,Y
2020,4227042553,"DL3 REALTY, LP",77 W. WASHINGTON,SUITE 405,CHICAGO,IL,60602,UNITED STATES,01/25/2019,Y
2020,1314049866,"FUTURE OF THE LEAF ENTERPRISES, LLC",2826 W. WASHINGTON BLVD,,CHICAGO,IL,60612,UNITED STATES,03/18/2020,Y
2020,503063909,JOHNSON & JOHNSON,ONE JOHNSON & JOHNSON PLAZA,,NEW BRUNSWICK,NJ,08933,UNITED STATES,03/19/2020,Y
2020,3936994617,"UNQORK, INC.","144 FIFTH AVENUE, 2ND FLOOR",,NEW YORK,NY,10011,UNITED STATES,03/19/2020,Y
2020,875382920,SECURITIES INDUSTRY & FINANCIAL MARKETS ASSOCIATION,120 BROADWAY,,NEW YORK,NY,10271-0080,UNITED STATES,03/19/2020,Y
2020,1068507907,"MINDFUL ILLINOIS, LLC",1433 W FULLERTON,UNIT C,ADDISON,IL,60101,UNITED STATES,03/20/2020,Y
2020,3844163383,AQUINNAH INVESTMENT TRUST,135 S. LASALLE STREET,SUITE 2200,CHICAGO,IL,60603,UNITED STATES,03/22/2020,Y
2020,310896985,CHICAGO HOPE ACADEMY,P.O. BOX 532,,NORTHBROOK,IL,60065,UNITED STATES,03/22/2020,Y
2020,865803811,DON BIGOTES MICHES LLC,2063 N LOCKWOOD,,CHICAGO,IL,60639,UNITED STATES,07/29/2020,Y
2020,1502906024,KATTEN MUCHIN ROSENMAN LLP,525 WEST MONROE ST.,,CHICAGO,IL,60661,UNITED STATES,,Y
2021,509798343,"THE DRISCOLL FIRM, LLC",1311 PONCE DE LEON,6TH FLOOR,SAN JUAN,PA,00907,PUERTO RICO,04/06/2021,Y
2021,1114749880,"AIRBNB, INC.","C/O 2350 KERNER BLVD., SUITE 250",,SAN RAFAEL,CA,94901,UNITED STATES,04/06/2021,Y
2021,2372684385,ZSD CORP.,3151 NORTH HALSTED,,CHICAGO,IL,60657,UNITED STATES,04/07/2021,Y
2021,1746873245,"WHITE OAK REALTY PARTNERS, LLC","200 W. JACKSON BLVD., SUITE 2850",,CHICAGO,IL,60606,UNITED STATES,04/07/2021,Y
2022,2659037116,KINZIE PARK HOMEOWNERS' ASSOCIATION,501 N. CLINTON STREET,,CHICAGO,IL,60654,UNITED STATES,02/14/2022,Y
2021,1197579962,THE SMALL BUSINESS ADVOCACY COUNCIL,3033 NORTH CLARK ST.,,CHICAGO,IL,60657,UNITED STATES,02/14/2022,Y
2022,2476864406,"CONSTELLATION ENERGY GENERATION, LLC",200 EXELON WAY,,KENNETT SQUARE,PA,19348,UNITED STATES,02/14/2022,Y
2014,2304917783,ILLINOIS RETAIL MERCHANTS ASSOCIATION,216 BROADWAY,,SPRINGFIELD,IL,62701,UNITED STATES,01/15/2014,Y
2020,1144366572,1735 N. ASHLAND PARTNERS LP,2734 W. SUPERIOR STREET,C/O TED WYNN,CHICAGO,IL,60612,UNITED STATES,01/16/2019,Y
2020,2308858236,OLD VETERAN CONSTRUCTION,10942 S. HALSTED STREET,,CHICAGO,IL,60628,UNITED STATES,10/16/2019,Y
2019,1687873541,UPTOWN SPECIAL SERVICE AREA #34 COMMISSION,"4753 NORTH BROADWAY, SUITE 822",,CHICAGO,IL,60640,UNITED STATES,03/29/2017,Y
2020,2852510313,VERIZON,1701 GOLF RD,SUITE 1-G6.105,ROLLING MEADOWS,IL,60008,UNITED STATES,12/17/2019,Y
2019,417412683,TAWANI ENTERPRISES INC,104 S MICHIGAN AVE,,CHICAGO,IL,60603,UNITED STATES,,Y
2014,374166763,"FIDELITY CAPITAL MARKETS, A DIVISION OF NATIONAL FINANCIAL SERVICES LLC",82 DEVONSHIRE STREET,Z2H,BOSTON,MA,02109,UNITED STATES,01/09/2013,Y
2022,992176218,NASCAR,1 DAYTONA BLVD.,,DAYTONA BEACH,FL,32114,UNITED STATES,02/16/2022,Y
2018,1078503147,"WEC ENERGY GROUP, INC.",231 WEST MICHIGAN STREET,P-456,MILWAUKEE,WI,53203,UNITED STATES,09/20/2017,Y
2022,2644856534,ACCESS LIVING,115 W CHICAGO AVE,,CHICAGO,IL,60654,UNITED STATES,11/02/2020,Y
2017,2318577164,"182 W. LAKE, LLC",182 W. LAKE STREET,,CHICAGO,IL,60601,UNITED STATES,01/15/2015,Y
2019,3581603304,BRE 312 OWNER LLC AND BRE RIVER NORTH POINT OWNER LLC,345 PARK AVENUE,,NEW YORK,NY,10154,UNITED STATES,11/20/2019,Y
2018,3606903396,3200 N SOUTHPORT ACQUISITION LLC C/O BRIAN DOHMEN,1724 W BELMONT AVE,,CHICAGO,IL,60657,UNITED STATES,04/20/2018,Y
2020,866388101,VISTRA ENERGY,6555 SIERRA DRIVE,,IRVING,TX,75039,UNITED STATES,01/18/2019,Y
2022,316401566,MAC MANAGEMENT CO. INC.,640 N. LASALLE ST.,SUITE 285,CHICAGO,IL,60654,UNITED STATES,02/22/2022,Y
2019,3273111740,"SKIDELSKY, ALAN",3346 N LAKEWOOD AVE,,CHICAGO,IL,60657,UNITED STATES,09/30/2019,Y
2022,3024997113,"HEALING TO ACTION, NFP",332 S. MICHIGAN AVE.,LOWER STE. H696,CHICAGO,IL,60604,UNITED STATES,02/22/2022,Y
2022,2663404033,STAGEHANDS LOCAL 2,216 S. JEFFERSON ST.,,CHICAGO,IL,60661,UNITED STATES,02/22/2022,Y
2019,3165504103,"401 N. MORGAN, LLC",119 W. HUBBARD STREET,5TH FLOOR,CHICAGO,IL,60654,UNITED STATES,07/23/2019,Y
2018,4076491350,V.S.S. INC.,800 EAST SIBLEY BLVD.,,DOLTON,IL,60149,UNITED STATES,08/15/2018,Y
2021,360982152,CHICAGO COALITION FOR THE HOMELESS,70 E. LAKE ST. SUITE 720,,CHICAGO,IL,60601,UNITED STATES,07/26/2021,Y
2019,2258983142,"SAMUEL A RAMIREZ & CO., INC.","200 N. LASALLE ST.,STE. 1900",,CHICAGO,IL,60601,UNITED STATES,01/20/2014,Y
2020,2278502439,"FLYING RETAIL, LLC",105 WEST ADAMS,SUITE 2313,CHICAGO,IL,60603,UNITED STATES,01/19/2017,Y
2019,2381248070,"FRENCHY SOCCER DEVELOPMENT, INC.","2515 VENTURA OAK WAY, STE 100",,SACRAMENTO,CA,95833,UNITED STATES,07/19/2019,Y
2022,22318328,DURAN BODY SHOP INC,2622 W. CHICAGO AVE,,CHICAGO,IL,60622,UNITED STATES,02/23/2022,Y
2015,512839136,CRESCENT HEIGHTS,2200 BISCAYNE BLVD.,6TH FLOOR,MIAMI,FL,33137,UNITED STATES,06/23/2015,Y
2014,326845980,UNION PROPERTY CHICAGO LLC,2830 S SHIELDS,,CHICAGO,IL,60616,UNITED STATES,07/10/2014,Y
2015,2363364757,CALIHAN CATERING,833 WEST HAINES,,CHICAGO,IL,60642,UNITED STATES,04/20/2015,Y
2015,2258983142,"SAMUEL A RAMIREZ & CO., INC.","200 N. LASALLE ST.,STE. 1900",,CHICAGO,IL,60601,UNITED STATES,01/20/2014,Y
2018,866061691,TAWANI ENTERPRISES INC,104 S MICHIGAN AVE,SUITE 500,CHICAGO,IL,60603,UNITED STATES,07/14/2017,Y
2018,2095252591,THE JOHN BUCK COMPANY,ONE NORTH WACKER DRIVE,,"CHICAGO,",IL,60606,UNITED STATES,01/15/2016,Y
2016,3950278146,"COLLATERAL TRUSTEE, INC.",1030 N CLARK STREET,SUITE 300,CHICAGO,IL,60614,UNITED STATES,01/04/2016,Y
2021,993571650,TODD BIRKELAND,7517 W. BELMONT AVENUE,,CHICAGO,IL,60634,UNITED STATES,04/07/2021,Y
2020,2143203365,STARBUCKS CORPORATION,2401 UTAH AVENUE SOUTH,SUITE 800,SEATTLE,WA,98134,UNITED STATES,06/08/2017,Y
2020,1709320456,THE CITY OF CHICAGO FINANCE DEPARTMENT,121 N. LASALLE STREET,7TH FLOOR,CHICAGO,IL,60602,UNITED STATES,03/02/2020,Y
2020,2622572414,EAST WATER PLACE HOMEOWNER'S ASSOCIATION,P.O. BOX 35098,,CHARLOTTE,NC,28235,UNITED STATES,03/26/2020,Y
2020,3915176714,S/POINT VENTURES,450 SKOKIE BLVD. SUITE 505,,"NORTHBROOK, IL 60062",IL,60062,UNITED STATES,03/26/2020,Y
2020,453116790,"MAIN THIRD BOWL, LLC",150 N. MICHIGAN AVE,SUITE 2700,CHICAGO,IL,60601,UNITED STATES,10/20/2019,Y
2020,548581374,"FLATIRON GLADES, LLC",150 N. MICHIGAN AVE,SUITE 2700,CHICAGO,IL,60601,UNITED STATES,03/26/2020,Y
2020,1723220508,"DISTINCTIVE SCHOOLS, INC.",910 W. VAN BUREN ST.,SUITE 314,CHICAGO,IL,60607,UNITED STATES,03/26/2020,Y
2023,561455592,RICHARDO AND BERNICE LOZADA,3840N. RIDGEWAY,,CHICAGO,IL,60618,UNITED STATES,06/30/2023,Y
2020,4207854891,SUITE HOME,1250 N. LASALLE,SUITE #1,CHICAGO,IL,60610,UNITED STATES,03/27/2020,Y
2020,4140652690,R4,38C GROVE ST,,RIDGEFIELD,CT,06877,UNITED STATES,03/30/2020,Y
