Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID,LOBBYIST_SALUTATION,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,LOBBYIST_SUFFIX,EMPLOYER_NAME,CLIENT_NAME
2020,25061,25383,48207,MS.,VINCENZA,M,RAINERI,,VINCENZA RAINERI,JOINT CIVIC COMMITTEE OF ITALIAN AMERICANS
2020,4007,24958,11602,MR.,JOHN,J,KELLY,JR.,"ALL-CIRCO, INC.",KATTEN MUCHIN ROSENMAN LLP
2020,24801,25113,47662,,RALSTON,,KING,,CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE FINANCIAL CORPORATION
2020,24800,25112,47661,,SHARONYA,,SIMON,,EDUCATORS FOR EXCELLENCE,EDUCATORS FOR EXCELLENCE
2020,24797,25112,47661,,ADAM,,MARSHAND,,EDUCATORS FOR EXCELLENCE,EDUCATORS FOR EXCELLENCE
2020,24796,25112,47661,,STACY,,MOORE,,EDUCATORS FOR EXCELLENCE,EDUCATORS FOR EXCELLENCE
2020,24795,25112,47661,,LINDSAY,,SEMPH,,EDUCATORS FOR EXCELLENCE,EDUCATORS FOR EXCELLENCE
2020,4074,7430,47659,MR.,TERRY,W,TEELE,,"RORY GROUP, LLC.",DAVITA
2020,24798,25112,47661,,JESSICA,,SULLIVAN-WILSON,,EDUCATORS FOR EXCELLENCE,EDUCATORS FOR EXCELLENCE
2020,24799,25112,47661,,BEN,,LOCKE,,EDUCATORS FOR EXCELLENCE,EDUCATORS FOR EXCELLENCE
2020,3753,23665,47997,MR.,LANGDON,D,NEAL,,"NEAL & LEROY, LLC","ATRIUM MALL, LLC"
2020,4126,21049,48208,MR.,MICHAEL,A,ALVAREZ,,MICHAEL ALVAREZ,ESSENTIAL HOUSING CHICAGO
2020,24803,15421,28642,MRS.,AMY,,BARRY,,ILLINOIS HOSPITAL ASSOCIATION,ILLINOIS HOSPITAL ASSOCIATION
2020,18181,24923,47650,MR.,JOHN,R,DALEY,,DALEY STRATEGY GROUP,TOBACCO-FREE KIDS ACTION FUND
